tiempo,Em_Mt,id_futuro
2031,-37.65281081,id_futuro_9
2032,-48.5237094,id_futuro_9
2033,-43.44688312,id_futuro_9
2034,-50.26017419,id_futuro_9
2035,-41.7384078,id_futuro_9
2036,-39.48028511,id_futuro_9
2037,-45.45128476,id_futuro_9
2038,-47.69472702,id_futuro_9
2039,-47.32955196,id_futuro_9
2040,-47.66524901,id_futuro_9
2041,-46.02995033,id_futuro_9
2042,-39.49414368,id_futuro_9
2043,-42.19648495,id_futuro_9
2044,-35.97678804,id_futuro_9
2045,-34.15526751,id_futuro_9
2046,-43.94007878,id_futuro_9
2047,-44.84288907,id_futuro_9
2048,-45.08872063,id_futuro_9
2049,-47.82936609,id_futuro_9
2050,-50.28982735,id_futuro_9
1990,-63.33224044,id_futuro_10
1991,-59.66992548,id_futuro_10
1992,-60.49756132,id_futuro_10
1993,-60.40270355,id_futuro_10
1994,-60.25809117,id_futuro_10
1995,-61.97127834,id_futuro_10
1996,-58.85718517,id_futuro_10
1997,-61.55841522,id_futuro_10
1998,-45.21235093,id_futuro_10
1999,-57.66985938,id_futuro_10
2000,-65.94570942,id_futuro_10
2001,-66.57002968,id_futuro_10
2002,-56.9177178,id_futuro_10
2003,-69.35342554,id_futuro_10
2004,-64.22017798,id_futuro_10
2005,-63.16781914,id_futuro_10
2006,-65.86464056,id_futuro_10
2007,-54.83547569,id_futuro_10
2008,-54.56990956,id_futuro_10
2009,-57.67206523,id_futuro_10
2010,-64.49615671,id_futuro_10
2011,-59.04463864,id_futuro_10
2012,-58.1032636,id_futuro_10
2013,-64.77339325,id_futuro_10
2014,-56.90301891,id_futuro_10
2015,-46.55264505,id_futuro_10
2016,-60.61134026,id_futuro_10
2017,13.47715115,id_futuro_10
2018,-50.41284301,id_futuro_10
2019,-48.00690099,id_futuro_10
2020,-49.53094698,id_futuro_10
2021,-54.98951523,id_futuro_10
2022,-53.67850108,id_futuro_10
2023,-43.56025336,id_futuro_10
2024,-41.57005031,id_futuro_10
2025,1.738737987,id_futuro_10
2026,-34.06387157,id_futuro_10
2027,-50.02376362,id_futuro_10
2028,-45.29919129,id_futuro_10
2029,-44.87819379,id_futuro_10
2030,-54.7261528,id_futuro_10
2031,-57.19912301,id_futuro_10
2032,-42.35986467,id_futuro_10
2033,-54.4531646,id_futuro_10
2034,-57.02024073,id_futuro_10
2035,-43.5433609,id_futuro_10
2036,-55.24692116,id_futuro_10
2037,-58.90096063,id_futuro_10
2038,-59.88912091,id_futuro_10
2039,-55.51061898,id_futuro_10
2040,-58.25807559,id_futuro_10
2041,-62.85418618,id_futuro_10
2042,-57.88279363,id_futuro_10
2043,-58.93173738,id_futuro_10
2044,-54.21260444,id_futuro_10
2045,-56.81636459,id_futuro_10
2046,-61.67032909,id_futuro_10
2047,-63.18909448,id_futuro_10
2048,-54.86203873,id_futuro_10
2049,-51.28498675,id_futuro_10
2050,-61.5194345,id_futuro_10
1990,-63.33224044,id_futuro_11
1991,-59.66992548,id_futuro_11
1992,-60.49756132,id_futuro_11
1993,-60.40270355,id_futuro_11
1994,-60.25809117,id_futuro_11
1995,-61.97127834,id_futuro_11
1996,-58.85718517,id_futuro_11
1997,-61.55841522,id_futuro_11
