tiempo,i_lena,m_lena,c_lena
1995,0.7,0,0
1996,0.7,0,0
1997,0.7,0,0
1998,0.7,0,0
1999,0.7,0,0
2000,0.7,0,0
2001,0.7,0,0
2002,0.7,0,0
2003,0.7,0,0
2004,0.7,0,0
2005,0.7,0,0
2006,0.7,0,0
2007,0.7,0,0
2008,0.7,0,0
2009,0.7,0,0
2010,0.7,0,0
2011,0.7,0,0
2012,0.7,0,0
2013,0.7,0,0
2014,0.7,0,0
2015,0.7,0,0
2016,0.7,0,0
2017,0.7,0,0
2018,0.7,0,0
2019,0.7,0,0
2020,0.7,0,0
2021,0.7,0,0
2022,0.7,0,0
2023,0.7,0,0
2024,0.7,0.0668997,3.7221044
2025,0.7,0.3299135,12.9826396
2026,0.7,0.5855871,6.2899109
2027,0.7,0.8339212,-0.4577776
2028,0.7,1.0749165,-7.2505384
2029,0.7,1.308573,-14.0784812
2030,0.7,1.5348893,-20.9317178
2031,0.7,1.6008013,-35.835198
2032,0.7,1.6612799,-38.5540225
2033,0.7,1.7163237,-41.1831805
2034,0.7,1.7659341,-43.7153479
2035,0.7,1.8101111,-46.1432034
2036,0.7,1.848854,-48.4594264
2037,0.7,1.8821628,-50.6566942
2038,0.7,1.9100382,-52.7276848
2039,0.7,1.9324788,-54.6650769
2040,0.7,1.949486,-56.4615485
2041,0.7,1.9610591,-58.1097783
2042,0.7,1.9671995,-59.6024443
2043,0.7,1.9679044,-60.9322238
2044,0.7,1.9631766,-62.0917969
2045,0.7,1.9530147,-63.0738402
2046,0.7,1.9374187,-63.8710324
2047,0.7,1.9163886,-64.4760522
2048,0.7,1.8899251,-64.8815769
2049,0.7,1.8580275,-65.0802852
2050,0.7,1.8206965,-65.0648558
1990,0.8,0,0
1991,0.8,0,0
1992,0.8,0,0
1993,0.8,0,0
1994,0.8,0,0
1995,0.8,0,0
1996,0.8,0,0
1997,0.8,0,0
1998,0.8,0,0
1999,0.8,0,0
2000,0.8,0,0
2001,0.8,0,0
2002,0.8,0,0
2003,0.8,0,0
2004,0.8,0,0
2005,0.8,0,0
2006,0.8,0,0
2007,0.8,0,0
2008,0.8,0,0
2009,0.8,0,0
2010,0.8,0,0
2011,0.8,0,0
2012,0.8,0,0
2013,0.8,0,0
2014,0.8,0,0
2015,0.8,0,0
2016,0.8,0,0
2017,0.8,0,0
2018,0.8,0,0
2019,0.8,0,0
2020,0.8,0,0
2021,0.8,0,0
2022,0.8,0,0
2023,0.8,0,0
2024,0.8,0.0764568,4.2538336
2025,0.8,0.377044,14.8373024
2026,0.8,0.6692424,7.1884696
2027,0.8,0.9530528,-0.5231744
2028,0.8,1.228476,-8.2863296
2029,0.8,1.495512,-16.0896928
2030,0.8,1.7541592,-23.9219632
2031,0.8,1.8294872,-40.954512
2032,0.8,1.8986056,-44.06174
2033,0.8,1.9615128,-47.066492
2034,0.8,2.0182104,-49.9603976
2035,0.8,2.0686984,-52.7350896
2036,0.8,2.112976,-55.3822016
2037,0.8,2.1510432,-57.8933648
2038,0.8,2.1829008,-60.2602112
2039,0.8,2.2085472,-62.4743736
2040,0.8,2.227984,-64.527484
2041,0.8,2.2412104,-66.4111752
2042,0.8,2.248228,-68.1170792
2043,0.8,2.2490336,-69.6368272
2044,0.8,2.2436304,-70.9620536
2045,0.8,2.2320168,-72.0843888
2046,0.8,2.2141928,-72.9954656
2047,0.8,2.1901584,-73.6869168
2048,0.8,2.1599144,-74.1503736
2049,0.8,2.12346,-74.3774688
2050,0.8,2.080796,-74.3598352
1990,0.9,0,0
1991,0.9,0,0
1992,0.9,0,0
1993,0.9,0,0
1994,0.9,0,0
1995,0.9,0,0
1996,0.9,0,0
1997,0.9,0,0
1998,0.9,0,0
1999,0.9,0,0
2000,0.9,0,0
2001,0.9,0,0
2002,0.9,0,0
2003,0.9,0,0
2004,0.9,0,0
2005,0.9,0,0
2006,0.9,0,0
2007,0.9,0,0
2008,0.9,0,0
2009,0.9,0,0
2010,0.9,0,0
2011,0.9,0,0
2012,0.9,0,0
2013,0.9,0,0
2014,0.9,0,0
2015,0.9,0,0
2016,0.9,0,0
2017,0.9,0,0
2018,0.9,0,0
2019,0.9,0,0
2020,0.9,0,0
2021,0.9,0,0
2022,0.9,0,0
2023,0.9,0,0
2024,0.9,0.0860139,4.7855628
2025,0.9,0.4241745,16.6919652
2026,0.9,0.7528977,8.0870283
2027,0.9,1.0721844,-0.5885712
2028,0.9,1.3820355,-9.3221208
2029,0.9,1.682451,-18.1009044
2030,0.9,1.9734291,-26.9122086
2031,0.9,2.0581731,-46.073826
2032,0.9,2.1359313,-49.5694575
2033,0.9,2.2067019,-52.9498035
2034,0.9,2.2704867,-56.2054473
2035,0.9,2.3272857,-59.3269758
2036,0.9,2.377098,-62.3049768
2037,0.9,2.4199236,-65.1300354
2038,0.9,2.4557634,-67.7927376
2039,0.9,2.4846156,-70.2836703
2040,0.9,2.506482,-72.5934195
2041,0.9,2.5213617,-74.7125721
2042,0.9,2.5292565,-76.6317141
2043,0.9,2.5301628,-78.3414306
2044,0.9,2.5240842,-79.8323103
2045,0.9,2.5110189,-81.0949374
2046,0.9,2.4909669,-82.1198988
2047,0.9,2.4639282,-82.8977814
2048,0.9,2.4299037,-83.4191703
2049,0.9,2.3888925,-83.6746524
2050,0.9,2.3408955,-83.6548146
1990,1,0,0
1991,1,0,0
1992,1,0,0
1993,1,0,0
1994,1,0,0
1995,1,0,0
1996,1,0,0
1997,1,0,0
1998,1,0,0
1999,1,0,0
2000,1,0,0
2001,1,0,0
2002,1,0,0
2003,1,0,0
2004,1,0,0
2005,1,0,0
2006,1,0,0
2007,1,0,0
2008,1,0,0
2009,1,0,0
2010,1,0,0
2011,1,0,0
2012,1,0,0
2013,1,0,0
2014,1,0,0
2015,1,0,0
2016,1,0,0
2017,1,0,0
2018,1,0,0
2019,1,0,0
2020,1,0,0
2021,1,0,0
2022,1,0,0
2023,1,0,0
2024,1,0.095571,5.317292
2025,1,0.471305,18.546628
2026,1,0.836553,8.985587
2027,1,1.191316,-0.653968
2028,1,1.535595,-10.357912
2029,1,1.86939,-20.112116
2030,1,2.192699,-29.902454
2031,1,2.286859,-51.19314
2032,1,2.373257,-55.077175
2033,1,2.451891,-58.833115
2034,1,2.522763,-62.450497
2035,1,2.585873,-65.918862
2036,1,2.64122,-69.227752
2037,1,2.688804,-72.366706
2038,1,2.728626,-75.325264
2039,1,2.760684,-78.092967
2040,1,2.78498,-80.659355
2041,1,2.801513,-83.013969
2042,1,2.810285,-85.146349
2043,1,2.811292,-87.046034
2044,1,2.804538,-88.702567
2045,1,2.790021,-90.105486
2046,1,2.767741,-91.244332
2047,1,2.737698,-92.108646
2048,1,2.699893,-92.687967
2049,1,2.654325,-92.971836
2050,1,2.600995,-92.949794
