tiempo,i_sustitucion,m_sustitucion,c_sustitucion
2020,0.6,0,0
2021,0.6,0,0
2022,0.6,0,0
2023,0.6,0,0
2024,0.6,-0.00687456,0.0000012
2025,0.6,-0.0082071,0.0000018
2026,0.6,-0.00979704,0.0000018
2027,0.6,-0.0116952,0.0000024
2028,0.6,-0.01396164,0.000003
2029,0.6,-0.01666698,0.0000036
2030,0.6,-0.01989636,0.0000042
2031,0.6,-0.02375274,0.0000054
2032,0.6,-0.02835558,0.000006
2033,0.6,-0.03384942,0.0000078
2034,0.6,-0.04040916,0.000009
2035,0.6,-0.0482394,0.0000108
2036,0.6,-0.05758698,0.0000132
2037,0.6,-0.0687456,0.0000162
2038,0.6,-0.0820677,0.0000198
2039,0.6,-0.0979704,0.000024
2040,0.6,-0.11695464,0.0000288
2041,0.6,-0.13961772,0.0000354
2042,0.6,-0.16667178,0.0000426
2043,0.6,-0.19896888,0.0000516
2044,0.6,-0.2375241,0.0000624
2045,0.6,-0.28355118,0.0000756
2046,0.6,-0.33849684,0.0000918
2047,0.6,-0.40408962,0.000111
2048,0.6,-0.48239268,0.0001344
2049,0.6,-0.57586848,0.0001626
2050,0.6,-0.68745864,0.0001968
1990,0.7,0,0
1991,0.7,0,0
1992,0.7,0,0
1993,0.7,0,0
1994,0.7,0,0
1995,0.7,0,0
1996,0.7,0,0
1997,0.7,0,0
1998,0.7,0,0
1999,0.7,0,0
2000,0.7,0,0
2001,0.7,0,0
2002,0.7,0,0
2003,0.7,0,0
2004,0.7,0,0
2005,0.7,0,0
2006,0.7,0,0
2007,0.7,0,0
2008,0.7,0,0
2009,0.7,0,0
2010,0.7,0,0
2011,0.7,0,0
2012,0.7,0,0
2013,0.7,0,0
2014,0.7,0,0
2015,0.7,0,0
2016,0.7,0,0
2017,0.7,0,0
2018,0.7,0,0
2019,0.7,0,0
2020,0.7,0,0
2021,0.7,0,0
2022,0.7,0,0
2023,0.7,0,0
2024,0.7,-0.0072912,0.0000014
2025,0.7,-0.0087045,0.0000021
